player_name,solo_KillDeathRatio,solo_DamagePg,solo_AvgSurvivalTime,solo_WinRatio
XTT1993,2.39,235.46,1097.34,12.59
Hongbro,1.91,210.91,1372.23,3.03
Painkillerr,2.8,274.22,912.58,16.67
Triangler,2.73,285.44,1102.48,11.76
Obsessiveness,2.23,243.2,947.8,3.19
K2Raynor,2.83,307.73,1182.22,10
LHGMAN,1.27,156.74,1019.27,1.16
HappypooL,1.21,135.32,1203.71,5.81
tyrose936,3.38,342.39,892.63,7.14
moamoa,2.15,228.83,876.25,2.94
NSG-Tyler,1.72,193.64,1029.79,3.39
KimDoHyung,1.13,149.47,932.01,2.04
naver_Kill,2.26,219.94,1185.18,13.64
Kenshuchu,3.95,398.8,1142.21,6.93
Leethm,1.86,191.69,1127.62,3.45
StarTaledBOB,1.66,193.18,832.01,3.78
Backsook,1.62,198.01,652.42,0
Maypiano,4.75,378.46,1613.63,20
Flanderz,2,250.89,834.16,0
HoleMan,1.17,136.03,1196.08,2.67
Parkjinyong,1.36,165.45,877.53,1.96
PUDGE228,3.23,340.57,1003.02,10.53
PangHyun,2.6,303.58,1318.76,4.76
keith7369,1.21,148.03,873.08,2.52
DDSG,3.85,353.15,1638.46,21.25
Canchome,1.67,214.35,1483.56,0
H1Zl_SUX,2.45,270.71,1512.47,8.33
Polaris3851,4.5,460.04,815.93,8.57
twitchtv_TheHell,3.91,388.47,822.17,9.94
Varong,1.16,137.54,1310.84,5.81
MIDGO,2.24,273.02,989.34,3.85
YoRing,1.11,137.55,1111.35,4.17
BulldogZ,4.18,395.31,1733.42,21.43
Vlarthas,1.01,120.73,1407.18,4.55
quiksilver,6.06,534.05,893.96,21.74
Abel,4.3,425.08,1428.67,13.64
speczer,1.54,176.34,747.73,1.98
Lobus,2.32,223.98,1118.24,7.5
Killer_Flame,2.56,253.74,979.45,5.88
Capta1nDaddy,8.4,569.23,1512.57,37.5
zRwR,1.91,222.98,989.93,4.17
Xzq123456,1.58,178,742.13,3.6
Eljo,2.33,311.34,1201.28,0
Moral_hazard,1.41,174.14,1412.29,1.04
SupremeHades,3.76,361.69,1204.55,12.5
Xterminator,1.29,153.18,691.97,0
oEVERGREENo,1.65,173.98,1313.38,3.96
taksen,2.34,258.35,1071.28,10.11
UnknownuserX,2.11,232.46,962.49,6.19
SapaQ,1.59,193.63,1179.55,2.7
JOHAEUN,2.09,214.51,1137.41,6.25
Liquidz,3.27,321.69,946.51,12
dogyun,8,850.6,1834.99,0
MAEM,2.04,213.28,969.61,5.45
QQQQQQ,3.03,296.69,1118.86,11.94
superdd,1.34,165.64,1035.69,1.91
seokbiandBeast,2.42,246.2,682.17,5
StarTail,2.11,240.47,999.62,3.57
MGardevoir,2.14,233.02,746.34,0
GhoStEyeS,1.35,162.75,800.76,0
KwonHaeTae,1.08,136.76,909.73,3.7
ChevChevYo,5.29,505.76,1727.41,22.22
4602121,2.87,287.81,563.19,8
Bot_Swag,2.09,209.41,1102.28,10.76
longya77,0.96,112.79,886.67,0.38
Kurumicha,2.31,239.1,929.03,9.09
gs668,2.61,262.58,1077.35,12
Dracullia,2.12,249.61,1084.54,0
TanKyun,2.19,248.32,1163.39,4.04
EdgeHOTS,1.7,184.87,889.42,2.94
TGP_wahaha,6.79,482.48,1248.1,31.82
PigCat,1.76,199.3,935.1,5.94
AnuCheekibreeki,1.82,219.94,890.94,3.51
Sibainu,3.27,314.05,1177.38,12.5
SoulSS,1.8,194.3,1090.48,6.59
LEX1NG,3.35,296.06,1153.92,20.69
LAVEND3R,2.15,242.32,1386.35,8.48
FeelWay,1.09,132.76,899.75,2.82
Moody,5.09,500.47,1338.82,16.96
Kammy-,2.51,280.94,1224.61,6.18
benq5,4.8,436.27,1284.41,24.43
Chagrin_,2.36,243.93,1123.34,10.77
Koooong,2.15,243.37,1211.22,9.3
DuWan,1.88,216.06,721.61,4
alcoco,1.48,177.7,512.73,1.39
a_lone,0.95,119.76,722.28,0
godobj,2.18,203.9,1095.97,8.33
SSNR,2.05,237.45,1145.6,6.5
Maron89,1,114.8,1348.56,0.68
SEX-KING-YeonWoo,1.2,144.68,815.43,1.33
t0fficz,4.43,410.43,1338.47,15.69
KingedBruh,1.91,205.44,913.57,2.94
Bermuda,2.2,317.14,1304.97,0
hingo_o,9.5,684.14,1539.86,33.33
Simpletone,2.44,279.19,963.44,3.85
chelator,1.56,176.5,844.52,1.67
sanshe,0.75,91.06,469.25,0
AragakiAyase1,2.27,190.03,1059.95,16.67
LittleFree,3.5,188.91,1331.34,50
Tank446,3.2,285.51,1140.38,9.09
VoodooG0d,3.2,339.17,1225.45,12.02
VanTz3oy,8,737.99,1432.69,16.67
rsi404,4.77,398.23,1635.97,23.53
HwaRang18se,1.36,159.43,1343.18,7.56
GeniusMAD,1.91,211.19,1223.14,8.05
Starry91,2.8,260.15,1184.17,11.76
what9,2.21,218.06,1402.02,13.04
oSevo,3.21,322.73,971.09,12.26
WreckemRob,3.28,342.43,1136.65,10.53
OhJungJe,4,451.78,1328.58,0
leezin,1.6,184.6,1389.57,4.08
Op_Kim,0,0,810.66,0
SWOLE_MARONE,3.53,349.29,1081.24,5.56
PotSad,2.4,269.98,1007.58,0
JohnVarvatos,6.14,514.92,1103.75,30
Corps777,0.82,98.39,1118.95,2
Teitoku,2.23,202.76,1281.3,14.55
Rosetta,1.57,189.17,1144.38,6.36
deathRow,2.38,261.44,552.36,2.95
LesClos,2.3,258.52,417.77,3.52
youth,1.89,221.97,1222.88,3.35
HoN_BoYa,3.18,305.36,1025.14,8.33
Nutshot_au,2.77,291.75,1034.94,13.95
VinnnnY,1.13,136.61,1254.92,5.65
ShenShI,2.69,280.86,1400.39,5.08
Twitchtv-Wizwiki,1.97,220.52,1199.49,6.58
Drulvert,3.23,293.61,1041.6,11.76
darksq,1.08,133.82,1302.69,0.76
hasong,1.44,168.48,687.7,0
notbenOG,1.46,178.39,1052.18,4.93
KORmse,3.59,343.09,1126.2,10.53
BaeLack,2.61,254.59,929.47,5.71
Wakano,0,0,148.57,0
JazzaTV,5.2,487.35,954.25,16.67
Nasang_ONE,2.68,275.84,1376.08,12.96
ButterToastBoy,27.5,1056.26,1524.19,60
SpecialONE___Orz,2,213.39,1433.62,9.89
zhzz--,1.42,160.82,806,2.82
K4ZZ,2.14,243.23,1158.18,7.45
Serjen,1.24,167.97,938.08,3.77
showking,2.74,270.64,1182.44,9.52
SingsongPingPong,4.43,414.36,1260.46,12.5
GGorani,6.5,402.18,1772.67,42.86
Bicsby,2.73,260.33,1111.33,10.81
MasterYR,0.83,104.04,922.03,0
Bahawaka,6,557.08,1463.77,19.78
SilkyMeat,1.18,149.06,663.73,0
Puzzle82,0.87,104.8,1017.19,1.87
eLus1ve,2.06,220.76,377.9,0
Qoong,2.05,216.07,1162.38,6.52
momento,3.06,257.09,1442.52,20
Arx4,1.49,170.04,966.97,2.9
SleepyDog99,3.5,290.55,1256.62,20
NoM3rcy,1.5,182.22,836.6,2.52
iGroot,0.85,105.34,1137.47,2.43
ConGanna,1.42,166.98,1024.37,3.51
HARIM-,3.41,334.34,1162.06,10.53
TaeJi,1.77,201.64,1352.46,2.8
pjkpcs3646,1.57,166.51,1079.71,8.7
DearAlas,1.35,133.83,1251.8,4
BongJa,1.66,204.22,994.1,3.45
Gahzrilla,3.89,377.97,711.11,15.62
alohayo,1.71,202.83,793.14,3.07
TaRanE,3,294.83,1552.72,0
Sharpshooter,1.19,141.1,801.4,1.74
fvwsatur,0.99,116.56,777.66,0.48
CrysisBoom,2.25,232.18,967.12,0
Bambia,1.33,163.72,1232.38,1.54
ShareZa,5,466.46,1115.7,14.63
Flameman,2.48,257.9,790.01,1.52
banes,1.07,129.81,1058.43,2.46
siraya,1.05,129.92,888.6,1.82
moondog1,1.13,139.43,925.16,2.52
jiwoo,1.17,142.17,1502.4,1.56
B-B-GO,2.78,258.3,860.83,14.29
PanDAtv629312,3.63,378.35,950.53,5.77
cidori,1.88,197.7,806.97,1.96
MYINNERSIDE,1.65,195.4,1169.43,4.73
Gandhimeta,1.59,185.39,1301.58,5.19
Zhaka,3.67,350.16,1380.86,11.11
JKD00,2.12,244.02,1314.12,5.48
Dezimous,2.6,258.4,1188.18,0
taiwanNO1,3,320.27,1324.88,10
melloncs,3.55,335.19,609.43,7.41
PJLee,1.14,141.19,1062.75,1.28
Maggysay,1.85,227.42,1111.96,3.88
OdinBro,1,149.03,1711.06,0
Rhaysor,2.06,228.26,1269.18,6.92
LucaEats,3.28,365.32,908.52,6.9
GOorDIE,2.38,256.39,1079.02,7.23
RoryFPS,4.78,382.9,913.48,18.18
Trollspider,1.16,136.76,1335.41,8.82
twitchTVdahmien7,3.7,367.02,1161.55,12.75
twitchfAwn,3.08,336.8,1302.68,7.14
BaekryeoN,5.17,412.67,1282.15,33.33
woka,3.1,326.57,785.96,3.12
KillCrazylol,2.68,269.84,708.56,4.35
Sumoken,2.27,239.36,971.08,7.07
sekhyeon,1.24,150.37,974.34,3.76
KnorkiS,4.29,393.94,1142.67,15.79
hypoc,3.35,359.72,911.8,5.77
yangnyumddal,1.08,132.7,1331.96,4.76
seonwoo-,14,766.31,1501.47,40
Art1022,0.82,95.56,1187.78,1.9
ALANKARUDERON,1.92,209.63,1332.27,5.36
yachebbang,1.57,178.04,1256,6.49
eDGe_Aus,5.38,496.17,927.89,18.26
Hoonkidult,2.24,241.46,1090.15,11.76
Yeon_,1.53,173.62,1382.73,3.96
Godhoon,3.2,342.8,1073.88,5.41
Loosia,1.41,176.39,510.55,0
ycshenhai,2.18,228.07,972.36,4.76
YouGrandMader,3.26,341.91,861.39,6.9
korean-bbq,1.76,224.93,1251.93,0
ToveLoGOD,3.19,334.26,914.77,3.75
DongsuGod,1.45,186.79,842.55,1.75
minimal,0.96,120.33,853.36,0.35
iceking999,3.29,274.75,961.53,12.5
Nixgom,1.07,132.83,724.14,0
RekenJPN,2.68,287.35,872.36,5.38
kuberin,1.57,187.01,1169.67,6.67
Audrey,1.2,143.07,1012.09,4.96
ParkJae,1.44,163.05,936.64,2.67
lGinGeRlKinGl,2.37,272.02,773.88,6.25
Yowi,1.61,199.14,1151.4,6.06
xeno2k,2.12,241.91,1601.86,12.12
Animalstatus,1.55,202.47,1106.13,2.64
dogchob,1.36,145.75,623.18,3.45
Jokerl0_0l,1.46,189.22,868.92,1.45
static_int_main,0.99,117.14,773.98,2.82
zNie,1.42,164.26,908.61,0
Mapo_,1.79,251.79,1352.28,0
Albert52777,1.66,201.87,881.34,4.49
IGNz,2.96,298.86,1005.5,8.62
